codigo,nombre,longitud,latitud,altitud,tecnologia,MAM_24_mean_dias_con_dato,SON_24_mean_dias_con_dato,MAM_25_mean_dias_con_dato,SON_25_mean_dias_con_dato,MAM_24_prec_media,MAM_24_prec_25,MAM_24_prec_50,MAM_24_prec_75,MAM_24_prec_max,MAM_24_fecha_max_precip,MAM_24_max_precip,SON_24_prec_media,SON_24_prec_25,SON_24_prec_50,SON_24_prec_75,SON_24_prec_max,SON_24_fecha_max_precip,SON_24_max_precip,MAM_25_prec_media,MAM_25_prec_25,MAM_25_prec_50,MAM_25_prec_75,MAM_25_prec_max,MAM_25_fecha_max_precip,MAM_25_max_precip,SON_25_prec_media,SON_25_prec_25,SON_25_prec_50,SON_25_prec_75,SON_25_prec_max,SON_25_fecha_max_precip,SON_25_max_precip,MAM_24_cadencia_media,SON_24_cadencia_media,MAM_25_cadencia_media,SON_25_cadencia_media,ratio_max_segundo_max,fecha_max_global,precip_max_global,cluster_geografico,p95_propia,p95_cluster_prom,ratio_p95_cluster
2120000134,COLEGIO LOS ALPES SEDE A [2120000134],-74.084,4.553,2875,Automática con Telemetría,0.935,0.835,0.946,0.912,0.805,0.0,0.0,0.1,21.6,2024-03-20,21.6,6.457,0.0,0.2,7.275,57.0,2024-11-20,57.0,3.077,0.1,1.0,3.0,54.5,2025-04-25,54.5,2.286,0.0,0.4,1.85,23.4,2025-11-21,23.4,5.9,1.2,1.7,1.2,1.046,2024-11-20,57.0,6,11.86,8.5,1.39
2120000172,COLEGIO UNION COLOMBIA SEDE A (IED) [2120000172],-74.028,4.759,2600,Automática con Telemetría,0.935,0.824,0.946,0.945,0.335,0.0,0.0,0.175,8.1,2024-04-18,8.1,6.069,0.0,0.2,5.8,91.8,2024-11-06,91.8,3.024,0.0,1.0,3.9,37.1,2025-03-11,37.1,2.356,0.0,0.15,1.85,25.6,2025-10-13,25.6,5.6,1.2,1.7,1.2,1.556,2024-11-06,91.8,5,10.8,12.98,0.83
2120000118,COLEGIO ALBERTO LLERAS CAMARGO [2120000118],-74.102,4.743,2556,Automática con Telemetría,0.815,0.857,0.946,0.945,0.467,0.0,0.0,0.1,8.7,2024-04-30,8.7,5.824,0.0,0.1,7.2,44.2,2024-11-20,44.2,2.797,0.0,0.8,3.85,19.5,2025-04-27,19.5,2.999,0.0,0.15,3.125,43.0,2025-09-19,43.0,8.8,1.2,1.5,1.2,1.028,2024-11-20,44.2,5,12.95,12.82,1.01
2120500204,IDEAM PUENTE ARANDA [2120500204],-74.103,4.622,2559,Automática con Telemetría,0.272,0.989,0.935,0.967,0.648,0.0,0.2,0.7,4.3,2024-05-14,4.3,7.762,0.0,0.4,6.75,108.6,2024-11-19,108.6,12.393,0.2,4.35,12.05,150.2,2025-04-09,150.2,2.291,0.0,0.3,1.85,43.0,2025-10-13,43.0,29.6,6.3,12.0,10.7,1.14,2025-01-22,651.6,7,44.44,12.99,3.42
2120500201,VITELMA [2120500201],-74.072,4.575,2777,Automática con Telemetría,0.924,0.846,0.946,0.945,0.682,0.0,0.0,0.2,18.7,2024-03-20,18.7,7.079,0.0,0.5,11.2,50.8,2024-11-10,50.8,3.557,0.3,1.2,4.55,33.1,2025-03-29,33.1,2.863,0.0,0.25,2.35,36.8,2025-11-15,36.8,5.2,1.2,1.5,1.2,1.38,2024-11-10,50.8,7,13.52,15.2,0.89
2120000099,COLEGIO VEINTIUN ANGELES [2120000099],-74.081,4.749,2614,Automática con Telemetría,0.935,0.857,0.946,0.945,0.624,0.0,0.0,0.1,13.4,2024-03-20,13.4,5.085,0.0,0.2,6.05,41.2,2024-11-19,41.2,1.267,0.0,0.2,1.9,8.3,2025-04-29,8.3,2.057,0.0,0.1,1.7,24.3,2025-10-16,24.3,6.6,1.4,3.0,1.8,1.051,2024-11-19,41.2,5,9.04,13.12,0.69
2120000109,COLEGIO RODOLFO LLINAS [2120000109],-74.108,4.72,2554,Automática con Telemetría,0.924,0.835,0.946,0.945,0.467,0.0,0.0,0.1,10.3,2024-03-20,10.3,5.574,0.0,0.2,7.45,46.4,2024-11-11,46.4,3.61,0.15,1.2,4.15,36.7,2025-04-27,36.7,2.914,0.0,0.1,1.65,36.1,2025-10-27,36.1,6.2,1.2,1.6,1.3,1.202,2024-11-11,46.4,5,11.64,12.92,0.9
2120000140,FUNDACIÓN ANA RESTREPO DEL CORRAL [2120000140],-74.023,4.706,2686,Automática con Telemetría,0.924,0.824,0.946,0.945,0.535,0.0,0.0,0.2,13.5,2024-04-20,13.5,9.785,0.0,0.0,8.5,100.8,2024-11-20,100.8,5.686,0.2,1.7,7.2,83.9,2025-04-25,83.9,2.431,0.0,0.25,1.575,30.4,2025-10-16,30.4,5.5,1.2,1.5,1.3,1.201,2024-11-20,100.8,5,15.19,12.65,1.2
2120000128,COLEGIO GABRIEL GARCIA MARQUEZ [2120000128],-74.092,4.505,3055,Automática con Telemetría,0.924,0.857,0.946,0.945,0.234,0.0,0.0,0.1,6.9,2024-03-20,6.9,2.722,0.0,0.05,3.05,24.8,2024-11-10,24.8,3.074,0.1,1.1,3.4,31.7,2025-04-25,31.7,1.857,0.0,0.45,2.2,14.4,2025-09-30,14.4,6.7,1.7,1.5,1.2,1.278,2025-04-25,31.7,6,9.55,8.61,1.11
2120000105,EL CODITO [2120000105],-74.022,4.763,2730,Automática con Telemetría,0.913,0.824,0.935,0.934,0.346,0.0,0.0,0.2,8.6,2024-04-18,8.6,6.147,0.0,0.2,6.8,68.2,2024-11-06,68.2,4.471,0.2,1.5,4.4,36.3,2025-03-11,36.3,2.998,0.0,0.2,2.1,44.2,2025-11-16,44.2,5.7,1.2,1.5,1.3,1.148,2024-11-06,68.2,5,12.16,12.88,0.94
