codigo,nombre,categoria,tecnologia,estado,municipio,latitud,longitud,area_hidrografica,zona_hidrografica,subzona_hidrografica,fecha_instalacion,fecha_suspension
0021206970,UNISALLE CENTRO [21206970],Climatológica Ordinaria,Convencional,Suspendida,"Bogotá, D.C",4.595,-74.07036111,Magdalena Cauca,Alto Magdalena,Río Bogotá,24/04/2008,03/05/2019
0021201720,SAN JORGE GRANJA [21201720],Pluviográfica,Convencional,Activa,Soacha,4.516666667,-74.2,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/04/1960,
0021206200,TUNDAMA [21206200],Climatológica Ordinaria,Convencional,Suspendida,Mosquera,4.733333333,-74.25,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/08/1986,15/02/1992
0021206730,GIBRALTAR  [21206730],Climatológica Principal,Convencional,Activa,"Bogotá, D.C",4.65,-74.18333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/02/2004,
0021200680,PTE LARGO  [21200680],Pluviométrica,Convencional,Suspendida,Madrid,4.733333333,-74.25,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/11/1958,15/01/1961
0021201550,EL ROBLE [21201550],Pluviométrica,Convencional,Activa,Madrid,4.796666667,-74.22638889,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/07/1985,
0021201470,FACATATIVA  [21201470],Pluviográfica,Convencional,Suspendida,Facatativá,4.833333333,-74.33333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/07/1931,15/09/1947
0021205490,TESORO 2  [21205490],Climatológica Ordinaria,Convencional,Suspendida,Facatativá,4.8,-74.33333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/02/1957,15/06/1969
0021206110,ENTRERRIOS  [21206110],Meteorológica Especial,Convencional,Suspendida,Mosquera,4.65,-74.25,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/03/1975,15/12/1984
0021205060,ACUEDUCTO USAQUEN [21205060],Climatológica Ordinaria,Convencional,Suspendida,"Bogotá, D.C",4.7,-74.03333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/03/1929,15/09/1959
0021200660,VIEJA LA  [21200660],Pluviométrica,Convencional,Activa,"Bogotá, D.C",4.65,-74.05,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/01/1958,
0021205840,SENA K 30 [21205840],Meteorológica Especial,Convencional,Suspendida,"Bogotá, D.C",4.595361111,-74.11183333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/04/1985,10/05/2011
0021200140,SOPO YERBABUENITA  [21200140],Pluviométrica,Convencional,Suspendida,Sopó,4.916666667,-73.95,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/04/1935,15/12/1952
0021200380,PANTANO REDONDO 2  [21200380],Pluviográfica,Convencional,Activa,Zipaquirá,5.033333333,-74.03333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/08/1950,
0021205515,MERENGO  - AUT  [21205515],Climatológica Principal,Automática con Telemetría,Activa,Soacha,4.700288889,-74.17378611,Magdalena Cauca,Alto Magdalena,Río Bogotá,,
0021201150,EDIFICIO M MEJIA  [21201150],Pluviográfica,Convencional,Activa,"Bogotá, D.C",4.616666667,-74.08333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/01/1981,
0021201610,SAN ISIDRO [21201610],Pluviométrica,Convencional,En Mantenimiento,Guasca,4.850288889,-73.89072222,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/05/1987,
0021205120,TESORO 1-FACATATIV  [21205120],Climatológica Ordinaria,Convencional,Suspendida,Facatativá,4.8,-74.33333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/02/1931,15/09/1947
0021206310,TISQUESUSA  [21206310],Climatológica Principal,Convencional,Activa,Facatativá,4.816666667,-74.31666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/10/1986,
0035025050,LLANO LARGO [35025050],Climatológica Ordinaria,Convencional,Suspendida,Ubaque,4.482833333,-74.03027778,Orinoco,Meta,Río Guayuriba,15/04/1986,04/12/2025
0021206940,CIUDAD BOLIVAR [21206940],Climatológica Principal,Automática con Telemetría,Suspendida,"Bogotá, D.C",4.576861111,-74.17677778,Magdalena Cauca,Alto Magdalena,Río Bogotá,19/05/2005,24/08/2018
0021201590,ALCO  [21201590],Pluviográfica,Convencional,Activa,Zipaquirá,4.9,-74,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/06/1980,
0021202110,HUERTAS LAS  [21202110],Pluviográfica,Convencional,Activa,Soacha,4.583333333,-74.23333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/11/1968,
0021205580,VENADO ORO VIVERO [21205580],Climatológica Ordinaria,Convencional,Suspendida,"Bogotá, D.C",4.598361111,-74.06155556,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/08/1965,
0021205650,TABIO  [21205650],Climatológica Principal,Convencional,Activa,Tabio,4.766666667,-73.93333333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/07/1970,
0021206530,BOSA  [21206530],Climatológica Ordinaria,Convencional,Activa,"Bogotá, D.C",4.6,-74.2,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/05/1957,
0021205470,FONTIBON  [21205470],Climatológica Ordinaria,Convencional,Activa,"Bogotá, D.C",4.683333333,-74.15,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/06/1972,
0021206630,BILBAO MAXIMO POTI [21206630],Climatológica Ordinaria,Convencional,Suspendida,"Bogotá, D.C",4.751138889,-74.09158333,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/11/2001,12/04/2018
0021206480,CENTRO INVESTIGAC.  [21206480],Climatológica Ordinaria,Convencional,Activa,Chía,4.9,-74.01666667,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/03/1993,
0021205300,PALO BLANCO  [21205300],Climatológica Ordinaria,Convencional,Activa,"Bogotá, D.C",4.516666667,-74.05,Magdalena Cauca,Alto Magdalena,Río Bogotá,15/12/1945,
