timestamp,satelite,filepath,motivo
2024-09-09 00:10:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240909-001000.nc,incompleto
2024-09-09 00:30:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240909-003000.nc,incompleto
2024-09-09 00:40:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240909-004000.nc,incompleto
2024-09-09 15:30:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240909-153000.nc,incompleto
2024-09-09 15:40:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240909-154000.nc,incompleto
2024-09-09 15:50:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240909-155000.nc,incompleto
2024-09-09 16:00:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240909-160000.nc,incompleto
2024-09-09 16:10:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240909-161000.nc,incompleto
2024-09-09 16:20:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240909-162000.nc,incompleto
2024-09-09 16:30:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240909-163000.nc,incompleto
2024-09-09 16:40:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240909-164000.nc,incompleto
2024-09-09 16:50:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240909-165000.nc,incompleto
2024-09-09 17:00:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240909-170000.nc,incompleto
2024-09-16 10:50:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240916-105000.nc,incompleto
2024-09-28 08:30:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240928-083000.nc,incompleto
2024-09-28 15:00:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240928-150000.nc,incompleto
2024-09-28 15:10:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240928-151000.nc,incompleto
2024-09-28 15:40:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240928-154000.nc,incompleto
2024-09-28 16:20:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240928-162000.nc,incompleto
2024-09-28 16:30:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240928-163000.nc,incompleto
2024-09-28 16:40:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240928-164000.nc,incompleto
2024-09-28 16:50:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240928-165000.nc,incompleto
2024-09-28 17:10:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240928-171000.nc,incompleto
2024-09-28 17:20:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240928-172000.nc,incompleto
2024-09-30 10:50:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20240930-105000.nc,incompleto
2024-10-01 17:10:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241001-171000.nc,incompleto
2024-10-02 11:00:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241002-110000.nc,incompleto
2024-10-02 17:40:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241002-174000.nc,incompleto
2024-10-03 18:50:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241003-185000.nc,incompleto
2024-10-03 19:10:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241003-191000.nc,parcial
2024-10-03 19:40:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241003-194000.nc,parcial
2024-10-03 19:50:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241003-195000.nc,parcial
2024-10-03 20:20:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241003-202000.nc,parcial
2024-10-03 21:40:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241003-214000.nc,parcial
2024-10-04 15:50:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241004-155000.nc,incompleto
2024-10-04 16:20:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241004-162000.nc,incompleto
2024-10-05 08:30:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241005-083000.nc,incompleto
2024-10-07 16:30:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241007-163000.nc,incompleto
2024-10-07 23:30:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241007-233000.nc,incompleto
2024-10-14 10:40:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241014-104000.nc,incompleto
2024-10-15 14:20:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241015-142000.nc,incompleto
2024-10-29 10:20:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241029-102000.nc,incompleto
2024-11-14 01:20:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241114-012000.nc,incompleto
2024-11-14 01:30:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241114-013000.nc,incompleto
2024-11-15 01:00:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241115-010000.nc,incompleto
2024-11-15 01:10:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241115-011000.nc,incompleto
2024-11-15 01:20:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241115-012000.nc,incompleto
2024-11-15 17:20:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241115-172000.nc,incompleto
2024-11-17 11:20:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241117-112000.nc,incompleto
2024-11-22 17:10:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241122-171000.nc,parcial
2024-12-06 07:50:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241206-075000.nc,incompleto
2024-12-06 11:30:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241206-113000.nc,incompleto
2024-12-11 16:10:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241211-161000.nc,incompleto
2024-12-11 19:10:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241211-191000.nc,incompleto
2024-12-20 05:40:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241220-054000.nc,incompleto
2024-12-20 05:50:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241220-055000.nc,incompleto
2024-12-20 06:00:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20241220-060000.nc,incompleto
2025-01-06 11:00:00+00:00,G16,C:\Users\diani\Documents\repositories\nowcasting-bogota\data\cmip_cropped\CMIPC_20250106-110000.nc,incompleto
